Submission ID,age,cups_per_day,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,flavor_preference,How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,expertise,Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?",overall_favorite,Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
0Ej0WA,45-54 years old,2,At home,True,False,False,False,False,"Coffee extract (e.g. Cometeer), Pour over",True,False,False,False,False,False,False,False,True,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,,2.0,2.0,4.0,,3.0,2.0,3.0,,3.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
9dJKR1,25-34 years old,2,At home,True,False,False,False,False,"Pour over, Espresso, Cold brew",True,False,True,False,False,False,False,True,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Very strong,Medium,Full caffeine,7.0,2.0,4.0,2.0,,3.0,2.0,5.0,,3.0,2.0,2.0,,3.0,3.0,5.0,,Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$15-$20,More than $20,Yes,$300-$500,Yes,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation
lNlXyB,45-54 years old,1,At the office,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,Americano,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,Half and half,False,False,True,False,False,False,False,False,False,Raw Sugar (Turbinado),False,False,False,False,False,False,False,True,,,,,,,,,Fruity,Medium,Medium,Full caffeine,5.0,1.0,4.0,5.0,"Caramel aftertaste, seemed *much* more acidic tasting in reverse order.  A lighter version of the Black and White. I would probably choose this as my everyday coffee. The caramel taste was much more pronounced once I added my typical half and half and turbinado.",3.0,3.0,4.0,"Thick mouthfeel, complex, licorice (?), blander tasting in reverse order.  Will recommend this one to a co-worker who has been looking for a darkish, heavier coffee.  It seems really well balanced.",3.0,2.0,2.0,"Nuts (?), sweeter tasting in reverse order, I wouldn't turn it down - it's a decent coffee - but I wouldn't say there's anything special about it.",2.0,5.0,4.0,"Thickish mouthfeel, orange (?), earthy tasting, a heavier version of Klatch. I would probably choose this as an occasional coffee to swap out the Klatch when I needed more ""wake up power"" in the morning.  Takes my normal half and half with turbinado well without being overwhelmed but doesn't really change the taste.",Coffee A,Coffee A,Coffee C,I primarily work in person,$20-$40,"I need the ritual, I need the caffeine, It tastes good, Other",True,True,True,False,True,"Comforting, warmth",Yes,Yes,$6-$8,$8-$10,Yes,$50-$100,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
g5NogM,45-54 years old,3,"At home, On the go, At the office",True,True,True,False,False,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee",False,False,True,True,True,True,False,False,False,False,,"Specialty coffee shop, Local cafe",False,True,False,True,False,False,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,"Oat milk, Half and half, Whole milk",True,False,True,False,False,True,False,False,False,"Raw Sugar (Turbinado), Artificial Sweeteners (e.g., Splenda)",False,True,False,False,False,False,False,True,,,,,,,,,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,2.0,5.0,"Sweet, hint of berry, hint of vanilla",2.0,4.0,4.0,,3.0,4.0,3.0,Earthy,5.0,5.0,1.0,apple cider vinegar ,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$10-$15,$4-$6,No,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
ylqb6X,25-34 years old,2,"At the office, At home",True,True,False,False,False,"Pour over, Espresso, Cold brew",True,False,True,False,False,False,False,True,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Full Bodied,Medium,Medium,Full caffeine,6.0,2.0,3.0,3.0,"Sweetness, Well rounded",5.0,2.0,4.0,"Bold? Chocolatey, Roasty",4.0,2.0,2.0,"Tonic, Bitter Bomb",2.0,5.0,5.0,"Fruity, Juicy, Bright, Berries, Funky",Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,It tastes good,True,False,False,False,False,,Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
XeBPa4,55-64 years old,2,At home,True,False,False,False,False,"Coffee brewing machine (e.g. Mr. Coffee), Other",False,False,False,True,False,False,False,False,False,True,Aeropress,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bold,Somewhat strong,Dark,Full caffeine,5.0,1.0,3.0,3.0,"It seemed very plain when hot, got more acid as it cooled.  It reminded me of chicory and I don't like that generally.",2.0,3.0,5.0,"Very smooth when hot, got a bit fruity aftertaste as it cooled.",3.0,4.0,4.0,"Definitely better hot.  It was very smooth, and my second favorite.",3.0,4.0,1.0,"Too fruity, almost rancid flavor.  Did not like it, hot or cold.",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,True,False,False,False,False,,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,,Bachelor's degree,White/Caucasian,,Retired,2,No affiliation
42N0dB,35-44 years old,3,"At the office, At a cafe",False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Flavored coffee creamer,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,Fruity,Medium,Medium,Full caffeine,3.0,1.0,4.0,3.0,"Started funky almost fermented, light but very acidic

I would make cold brew with this",3.0,1.0,4.0,"""this takes like coffee""

Just very much a good coffee, brown, very pleasant ",2.0,3.0,3.0,"Light fruity, great finish",4.0,5.0,1.0,"Sour, tasted very different from the others",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"I need the caffeine, It tastes good",True,True,False,False,False,,Yes,No,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Democrat
OA8zZg,35-44 years old,3,"At home, On the go, At the office",True,True,True,False,False,"French press, Espresso",False,True,True,False,False,False,False,False,False,False,,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Drive-thru",True,False,True,True,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",False,True,True,True,False,,"Whole milk, Half and half",True,False,True,False,False,False,False,False,False,"Granulated Sugar, Honey, Maple Syrup",True,False,True,True,False,False,False,False,,,,,,,,,Nutty,Medium,Medium,Full caffeine,8.0,2.0,3.0,3.0,,3.0,2.0,4.0,,2.0,2.0,5.0,,2.0,4.0,2.0,,Coffee C,Coffee A,Coffee C,I do a mix of both,$60-$80,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$10-$15,$4-$6,No,$500-$1000,Yes,Female,,,,,Employed full-time,,
PA82QV,25-34 years old,1,"At home, At the office, On the go, At a cafe",True,True,True,True,False,"Other, Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",False,False,False,True,True,False,False,False,False,True,Aeropress,"National chain (e.g. Starbucks, Dunkin)",True,False,False,False,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Bold,Somewhat strong,Light,Full caffeine,5.0,2.0,4.0,2.0,,4.0,3.0,3.0,,2.0,3.0,4.0,,4.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$8-$10,$15-$20,No,$50-$100,Yes,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
aBjMgv,18-24 years old,1,At home,True,False,False,False,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Full Bodied,Medium,Medium,Full caffeine,6.0,2.0,3.0,3.0,Punchy flavor on first sip. It falls apart a little as it cools down. It's almost a little too sharp.,3.0,2.0,4.0,"Very balanced, simple and casual coffee to drink. Its only downfall might be that it's a little too basic and lacks more fun flavors or complexity like the other coffees. This nails the fundamentals of what makes a good coffee good but won't win any contests because it's not experimental. ",2.0,3.0,5.0,Feels like a more balanced version of Coffee A. The flavor isn't as punchy on the sip like coffee A and that's a good thing. The flavor builds after the sip and the aftertaste is quite pleasant. it holds up well to its taste as it cools too. ,2.0,5.0,1.0,This coffee is frankly rancid. It tastes like it's rotten and quite unpleasant to drink,Coffee B,Coffee A,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",True,True,True,True,False,,Yes,No,$4-$6,$6-$8,No,$100-$300,Yes,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,Democrat
LdM2zJ,45-54 years old,2,At home,True,False,False,False,False,Pour over,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Very strong,Light,Full caffeine,8.0,3.0,5.0,5.0,"Fruity , Bright",4.0,2.0,2.0,Chocolate/nutty,4.0,4.0,2.0,Chocolate /nutty,3.0,5.0,5.0,"Bright, fruity ",Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
